komentar,label
"Overall puas update ML, skin-skin nya detail, jadi hiburan setelah capek.",positif
"Asik parah mode classic ML, hero-hero nya variatif, server belakangan stabil.",positif
"Worth it banget mode classic ML, UI-nya makin rapi, tetap rame pemainnya.",positif
"Seru banget main Mobile Legends, kontrolnya enak di tangan, lebih seru kalau mabar.",positif
"Lumayan mantap main Mobile Legends, grafisnya makin halus, buat killing time pas senggang.",positif
"Sumpah nagih update ML, kontrolnya enak di tangan, hadiahnya lumayan.",positif
"Overall puas update ML, hero-hero nya variatif, lebih seru kalau mabar.",positif
"Sumpah nagih mabar di ML, animasi skill nya keliatan smooth, bikin betah lama-lama.",positif
"Gila seru main ML, kontrolnya enak di tangan, jadi hiburan setelah capek.",positif
"Worth it banget push rank di ML, UI-nya makin rapi, hadiahnya lumayan.",positif
"Makin enjoy mabar di ML, animasi skill nya keliatan smooth, lebih seru kalau mabar.",positif
"Lumayan mantap mode ranked ML, grafisnya makin halus, hadiahnya lumayan.",positif
"Makin enjoy main ML, sound effect nya makin oke, jadi hiburan setelah capek.",positif
"Makin enjoy main ML, grafisnya makin halus, hadiahnya lumayan.",positif
"Gila seru main Mobile Legends, hero-hero nya variatif, kerasa ada improvement.",positif
"Seru banget main Mobile Legends, grafisnya makin halus, ga gampang bosen.",positif
"Gila seru main solo, match-nya cepet tapi tetap intens, lebih seru kalau mabar.",positif
"Seru banget main solo, gameplay-nya berasa responsif, ga gampang bosen.",positif
"Overall puas event ML, meta-nya lumayan seimbang, server belakangan stabil.",positif
"Worth it banget event ML, meta-nya lumayan seimbang, kerasa ada improvement.",positif
"Asik parah main bareng squad, skin-skin nya detail, buat killing time pas senggang.",positif
"Seru banget mode classic ML, sound effect nya makin oke, kerasa ada improvement.",positif
"Makin enjoy main bareng squad, grafisnya makin halus, kerasa ada improvement.",positif
"Sumpah nagih update ML, match-nya cepet tapi tetap intens, tetap rame pemainnya.",positif
"Asik parah main bareng squad, gameplay-nya berasa responsif, lebih seru kalau mabar.",positif
"Overall puas mode classic ML, sound effect nya makin oke, buat killing time pas senggang.",positif
"Overall puas mode ranked ML, skin-skin nya detail, tetap rame pemainnya.",positif
"Makin enjoy mabar di ML, animasi skill nya keliatan smooth, kerasa ada improvement.",positif
"Worth it banget main solo, UI-nya makin rapi, hadiahnya lumayan.",positif
"Overall puas mabar di ML, kontrolnya enak di tangan, bikin betah lama-lama.",positif
"Keren sih main solo, gameplay-nya berasa responsif, jadi hiburan setelah capek.",positif
"Makin enjoy mode classic ML, match-nya cepet tapi tetap intens, buat killing time pas senggang.",positif
"Bagus juga push rank di ML, grafisnya makin halus, lebih seru kalau mabar.",positif
"Asik parah push rank di ML, hero-hero nya variatif, buat killing time pas senggang.",positif
"Overall puas push rank di ML, skin-skin nya detail, jadi hiburan setelah capek.",positif
"Overall puas main ML, hero-hero nya variatif, kerasa ada improvement.",positif
"Seru banget mabar di ML, hero-hero nya variatif, server belakangan stabil.",positif
"Gila seru push rank di ML, animasi skill nya keliatan smooth, lebih seru kalau mabar.",positif
"Overall puas mode ranked ML, skin-skin nya detail, buat killing time pas senggang.",positif
"Overall puas main Mobile Legends, hero-hero nya variatif, hadiahnya lumayan.",positif
"Makin enjoy push rank di ML, skin-skin nya detail, tetap rame pemainnya.",positif
"Overall puas main Mobile Legends, animasi skill nya keliatan smooth, jadi hiburan setelah capek.",positif
"Asik parah main solo, grafisnya makin halus, buat killing time pas senggang.",positif
"Sumpah nagih push rank di ML, grafisnya makin halus, tetap rame pemainnya.",positif
"Lumayan mantap mode ranked ML, meta-nya lumayan seimbang, jarang delay di tempatku.",positif
"Lumayan mantap push rank di ML, animasi skill nya keliatan smooth, bikin betah lama-lama.",positif
"Sumpah nagih mode ranked ML, animasi skill nya keliatan smooth, bikin betah lama-lama.",positif
"Bagus juga mabar di ML, match-nya cepet tapi tetap intens, hadiahnya lumayan.",positif
"Asik parah update ML, UI-nya makin rapi, kerasa ada improvement.",positif
"Sumpah nagih push rank di ML, sound effect nya makin oke, hadiahnya lumayan.",positif
"Sumpah nagih mode ranked ML, animasi skill nya keliatan smooth, lebih seru kalau mabar.",positif
"Lumayan mantap mode ranked ML, UI-nya makin rapi, jarang delay di tempatku.",positif
"Worth it banget main bareng squad, kontrolnya enak di tangan, server belakangan stabil.",positif
"Worth it banget main bareng squad, meta-nya lumayan seimbang, kerasa ada improvement.",positif
"Keren sih main ML, grafisnya makin halus, jarang delay di tempatku.",positif
"Worth it banget mabar di ML, UI-nya makin rapi, jadi hiburan setelah capek.",positif
"Lumayan mantap mode classic ML, sound effect nya makin oke, tetap rame pemainnya.",positif
"Overall puas mabar di ML, match-nya cepet tapi tetap intens, hadiahnya lumayan.",positif
"Makin enjoy update ML, skin-skin nya detail, jarang delay di tempatku.",positif
"Worth it banget main ML, UI-nya makin rapi, lebih seru kalau mabar.",positif
"Sumpah nagih main ML, match-nya cepet tapi tetap intens, kerasa ada improvement.",positif
"Keren sih push rank di ML, UI-nya makin rapi, lebih seru kalau mabar.",positif
"Keren sih mode ranked ML, sound effect nya makin oke, jarang delay di tempatku.",positif
"Asik parah mabar di ML, sound effect nya makin oke, kerasa ada improvement.",positif
"Seru banget mode classic ML, kontrolnya enak di tangan, hadiahnya lumayan.",positif
"Makin enjoy main solo, hero-hero nya variatif, tetap rame pemainnya.",positif
"Asik parah main ML, animasi skill nya keliatan smooth, bikin betah lama-lama.",positif
"Gila seru update ML, kontrolnya enak di tangan, tetap rame pemainnya.",positif
"Asik parah mode ranked ML, gameplay-nya berasa responsif, jadi hiburan setelah capek.",positif
"Lumayan mantap mode ranked ML, sound effect nya makin oke, server belakangan stabil.",positif
"Lumayan mantap main Mobile Legends, kontrolnya enak di tangan, jadi hiburan setelah capek.",positif
"Sumpah nagih main ML, gameplay-nya berasa responsif, bikin betah lama-lama.",positif
"Overall puas main ML, gameplay-nya berasa responsif, bikin betah lama-lama.",positif
"Sumpah nagih push rank di ML, gameplay-nya berasa responsif, kerasa ada improvement.",positif
"Overall puas event ML, sound effect nya makin oke, jadi hiburan setelah capek.",positif
"Kacau chat in-game, hero tertentu terlalu OP, padahal pengen santai.",negatif
"Capek tim random, bug muncul abis update, sering ketemu troll.",negatif
"Bikin emosi sistem report, tiba-tiba frame drop, mending stop dulu.",negatif
"Ngeselin balance hero, tiba-tiba frame drop, jadi malas main.",negatif
"Parah sih server ML, banyak yang toxic bacot, akhirnya kalah streak.",negatif
"Capek tim random, lag pas war, jadi capek mental.",negatif
"Frustasi draft pick, tiba-tiba DC, padahal pengen santai.",negatif
"Stress sistem report, ga ada kerja sama tim, ping naik turun.",negatif
"Mood jadi rusak balance hero, lag pas war, ping naik turun.",negatif
"Kesel banget draft pick, tiba-tiba DC, report kayak ga ngaruh.",negatif
"Kacau draft pick, banyak yang toxic bacot, rasanya ga adil.",negatif
"Kesel banget chat in-game, tiba-tiba frame drop, ping naik turun.",negatif
"Parah sih chat in-game, tiba-tiba frame drop, bikin buang waktu.",negatif
"Mood jadi rusak sistem report, lag pas war, sering ketemu troll.",negatif
"Kacau sistem report, banyak yang toxic bacot, padahal pengen santai.",negatif
"Kacau push rank ML, lag pas war, ping naik turun.",negatif
"Kesel banget draft pick, bug muncul abis update, akhirnya kalah streak.",negatif
"Parah sih anti-AFK, ga ada kerja sama tim, jadi capek mental.",negatif
"Capek chat in-game, ada yang AFK di menit awal, mending stop dulu.",negatif
"Stress matchmaking ML, rank jadi susah naik, jadi capek mental.",negatif
"Stress push rank ML, rank jadi susah naik, padahal pengen santai.",negatif
"Sumpah nyebelin matchmaking ML, ketemu feeder terus, ping naik turun.",negatif
"Ngeselin balance hero, ga ada kerja sama tim, akhirnya kalah streak.",negatif
"Kacau draft pick, ada yang AFK di menit awal, jadi malas main.",negatif
"Kacau balance hero, lag pas war, report kayak ga ngaruh.",negatif
"Sumpah nyebelin server ML, tiba-tiba DC, report kayak ga ngaruh.",negatif
"Bikin emosi update terbaru, banyak yang toxic bacot, padahal pengen santai.",negatif
"Ngeselin push rank ML, ada yang AFK di menit awal, sering ketemu troll.",negatif
"Kacau chat in-game, bug muncul abis update, report kayak ga ngaruh.",negatif
"Bikin emosi chat in-game, lag pas war, mending stop dulu.",negatif
"Parah sih update terbaru, banyak yang toxic bacot, rasanya ga adil.",negatif
"Sumpah nyebelin server ML, rank jadi susah naik, jadi capek mental.",negatif
"Capek balance hero, bug muncul abis update, jadi malas main.",negatif
"Kesel banget sistem report, ketemu feeder terus, report kayak ga ngaruh.",negatif
"Sumpah nyebelin tim random, ada yang AFK di menit awal, mending stop dulu.",negatif
"Ngeselin sistem report, banyak yang toxic bacot, jadi malas main.",negatif
"Parah sih anti-AFK, tiba-tiba frame drop, sering ketemu troll.",negatif
"Capek server ML, lag pas war, jadi malas main.",negatif
"Kesel banget draft pick, ga ada kerja sama tim, ping naik turun.",negatif
"Mood jadi rusak matchmaking ML, ga ada kerja sama tim, padahal pengen santai.",negatif
"Stress balance hero, ketemu feeder terus, report kayak ga ngaruh.",negatif
"Ngeselin update terbaru, tiba-tiba frame drop, jadi capek mental.",negatif
"Mood jadi rusak matchmaking ML, ada yang AFK di menit awal, sering ketemu troll.",negatif
"Ngeselin chat in-game, hero tertentu terlalu OP, bikin buang waktu.",negatif
"Kesel banget sistem report, tiba-tiba DC, ping naik turun.",negatif
"Frustasi matchmaking ML, ga ada kerja sama tim, padahal pengen santai.",negatif
"Parah sih chat in-game, bug muncul abis update, sering ketemu troll.",negatif
"Frustasi chat in-game, hero tertentu terlalu OP, report kayak ga ngaruh.",negatif
"Kesel banget update terbaru, ketemu feeder terus, akhirnya kalah streak.",negatif
"Sumpah nyebelin push rank ML, lag pas war, mending stop dulu.",negatif
"Bikin emosi update terbaru, lag pas war, rasanya ga adil.",negatif
"Capek server ML, rank jadi susah naik, mending stop dulu.",negatif
"Parah sih server ML, ada yang AFK di menit awal, rasanya ga adil.",negatif
"Capek server ML, tiba-tiba DC, bikin buang waktu.",negatif
"Capek update terbaru, ga ada kerja sama tim, report kayak ga ngaruh.",negatif
"Ngeselin tim random, lag pas war, rasanya ga adil.",negatif
"Bikin emosi tim random, bug muncul abis update, padahal pengen santai.",negatif
"Frustasi matchmaking ML, rank jadi susah naik, ping naik turun.",negatif
"Capek chat in-game, ketemu feeder terus, jadi capek mental.",negatif
"Bikin emosi server ML, tiba-tiba DC, mending stop dulu.",negatif
"Bikin emosi tim random, banyak yang toxic bacot, akhirnya kalah streak.",negatif
"Mood jadi rusak chat in-game, ketemu feeder terus, ping naik turun.",negatif
"Capek sistem report, hero tertentu terlalu OP, report kayak ga ngaruh.",negatif
"Kesel banget server ML, ga ada kerja sama tim, jadi malas main.",negatif
"Frustasi update terbaru, bug muncul abis update, bikin buang waktu.",negatif
"Kesel banget chat in-game, ketemu feeder terus, mending stop dulu.",negatif
"Parah sih push rank ML, banyak yang toxic bacot, bikin buang waktu.",negatif
"Mood jadi rusak tim random, tiba-tiba frame drop, report kayak ga ngaruh.",negatif
"Kacau tim random, ada yang AFK di menit awal, ping naik turun.",negatif
"Bikin emosi anti-AFK, tiba-tiba DC, report kayak ga ngaruh.",negatif
"Frustasi chat in-game, rank jadi susah naik, akhirnya kalah streak.",negatif
"Bikin emosi push rank ML, rank jadi susah naik, rasanya ga adil.",negatif
"Sumpah nyebelin draft pick, tiba-tiba DC, report kayak ga ngaruh.",negatif
"Ngeselin chat in-game, bug muncul abis update, sering ketemu troll.",negatif
"Kesel banget draft pick, lag pas war, akhirnya kalah streak.",negatif
"Mood jadi rusak update terbaru, bug muncul abis update, sering ketemu troll.",negatif
"Frustasi sistem report, bug muncul abis update, rasanya ga adil.",negatif
"Stress matchmaking ML, rank jadi susah naik, akhirnya kalah streak.",negatif
"Parah sih push rank ML, ga ada kerja sama tim, ping naik turun.",negatif
"Stress chat in-game, tiba-tiba frame drop, jadi malas main.",negatif
"Stress chat in-game, ketemu feeder terus, jadi capek mental.",negatif
"Kacau sistem report, lag pas war, jadi capek mental.",negatif
"Bikin emosi update terbaru, ketemu feeder terus, ping naik turun.",negatif
"Sumpah nyebelin balance hero, banyak yang toxic bacot, jadi malas main.",negatif
"Bikin emosi tim random, rank jadi susah naik, mending stop dulu.",negatif
"Stress draft pick, rank jadi susah naik, sering ketemu troll.",negatif
"Ngeselin update terbaru, tiba-tiba frame drop, jadi malas main.",negatif
"Mood jadi rusak push rank ML, ketemu feeder terus, rasanya ga adil.",negatif
"Ngeselin balance hero, hero tertentu terlalu OP, report kayak ga ngaruh.",negatif
"Bikin emosi server ML, banyak yang toxic bacot, jadi capek mental.",negatif
"Parah sih server ML, lag pas war, jadi malas main.",negatif
"Bikin emosi anti-AFK, rank jadi susah naik, jadi malas main.",negatif
"Kacau chat in-game, tiba-tiba frame drop, jadi malas main.",negatif
"Stress draft pick, tiba-tiba frame drop, akhirnya kalah streak.",negatif
"Mood jadi rusak server ML, bug muncul abis update, bikin buang waktu.",negatif
"Parah sih balance hero, hero tertentu terlalu OP, jadi capek mental.",negatif
"Capek matchmaking ML, rank jadi susah naik, bikin buang waktu.",negatif
"Frustasi update terbaru, rank jadi susah naik, rasanya ga adil.",negatif
"Mood jadi rusak draft pick, ga ada kerja sama tim, rasanya ga adil.",negatif
"Mood jadi rusak server ML, ada yang AFK di menit awal, bikin buang waktu.",negatif
"Intinya game ini, update konten cukup sering, ga ada yang spesial banget.",netral
"Buatku aplikasi ini, kontrolnya pakai joystick virtual, lumayan buat waktu luang.",netral
"Kalau dari pengalaman aplikasi ini, lebih enak kalau main bareng tim, kadang seru kadang biasa.",netral
"Untuk sekarang game ranked, kontrolnya pakai joystick virtual, cocok buat yang suka strategi.",netral
"Sejauh ini game ranked, meta berubah-ubah tiap musim, bisa dimainkan santai atau kompetitif.",netral
"Kalau dari pengalaman game MOBA di HP, match rata-rata sekitar belasan menit, ya standar MOBA mobile.",netral
"Secara umum MOBA ini, meta berubah-ubah tiap musim, ya standar MOBA mobile.",netral
"Intinya game ranked, update konten cukup sering, tinggal preferensi aja.",netral
"Secara umum game MOBA di HP, butuh koneksi internet stabil, lumayan buat waktu luang.",netral
"Intinya MOBA ini, punya banyak hero dan role, buatku cukup oke.",netral
"Intinya MLBB, lebih enak kalau main bareng tim, lumayan buat waktu luang.",netral
"Sejauh ini MLBB, punya banyak hero dan role, kadang seru kadang biasa.",netral
"Dari sisi gameplay game ranked, kontrolnya pakai joystick virtual, overall biasa aja.",netral
"Intinya ML, ada sistem rank dan matchmaking, cocok buat yang suka strategi.",netral
"Yang kerasa game ranked, lebih enak kalau main bareng tim, bisa dimainkan santai atau kompetitif.",netral
"Kalau dari pengalaman aplikasi ini, cukup populer dan komunitasnya besar, overall biasa aja.",netral
"Sejauh ini aplikasi ini, punya banyak hero dan role, ga ada yang spesial banget.",netral
"Dari sisi gameplay game ini, punya banyak hero dan role, ya standar MOBA mobile.",netral
"Dari sisi gameplay aplikasi ini, cukup populer dan komunitasnya besar, overall biasa aja.",netral
"Buatku MLBB, punya skin dan event berkala, lumayan buat waktu luang.",netral
"Dari sisi gameplay game MOBA di HP, update konten cukup sering, cocok buat yang suka strategi.",netral
"Untuk sekarang ML, cukup populer dan komunitasnya besar, tinggal preferensi aja.",netral
"Buatku aplikasi ini, butuh koneksi internet stabil, cocok buat yang suka strategi.",netral
"Secara umum MOBA ini, lebih enak kalau main bareng tim, lumayan buat waktu luang.",netral
"Kalau dibanding MOBA lain game MOBA di HP, kontrolnya pakai joystick virtual, kadang seru kadang biasa.",netral
"Buatku MLBB, butuh koneksi internet stabil, bisa dimainkan santai atau kompetitif.",netral
"Dari sisi gameplay game ini, punya banyak hero dan role, bisa dimainkan santai atau kompetitif.",netral
"Yang kerasa MOBA ini, lebih enak kalau main bareng tim, tergantung pemain yang ketemu.",netral
"Secara umum ML, ada sistem rank dan matchmaking, ya standar MOBA mobile.",netral
"Secara umum MOBA ini, kontrolnya pakai joystick virtual, tinggal preferensi aja.",netral
"Secara umum game ranked, punya banyak hero dan role, ga ada yang spesial banget.",netral
"Menurutku mode classic, punya banyak hero dan role, ga ada yang spesial banget.",netral
"Dari sisi gameplay ML, update konten cukup sering, lumayan buat waktu luang.",netral
"Untuk sekarang aplikasi ini, butuh koneksi internet stabil, buatku cukup oke.",netral
"Sejauh ini game ini, cukup populer dan komunitasnya besar, bisa dimainkan santai atau kompetitif.",netral
"Buatku game ini, punya banyak hero dan role, bisa dimainkan santai atau kompetitif.",netral
"Menurutku MOBA ini, update konten cukup sering, cocok buat yang suka strategi.",netral
"Kalau dibanding MOBA lain mode classic, punya skin dan event berkala, bisa dimainkan santai atau kompetitif.",netral
"Buatku game ranked, ada sistem rank dan matchmaking, tergantung pemain yang ketemu.",netral
"Dari sisi gameplay aplikasi ini, update konten cukup sering, buatku cukup oke.",netral
"Intinya game ranked, kontrolnya pakai joystick virtual, overall biasa aja.",netral
"Kalau dibanding MOBA lain game MOBA di HP, match rata-rata sekitar belasan menit, lumayan buat waktu luang.",netral
"Sejauh ini ML, lebih enak kalau main bareng tim, overall biasa aja.",netral
"Kalau dari pengalaman game ini, lebih enak kalau main bareng tim, cocok buat yang suka strategi.",netral
"Menurutku MLBB, ada sistem rank dan matchmaking, kadang seru kadang biasa.",netral
"Sejauh ini Mobile Legends Bang Bang, update konten cukup sering, bisa dimainkan santai atau kompetitif.",netral
"Buatku mode classic, meta berubah-ubah tiap musim, kadang seru kadang biasa.",netral
"Buatku MOBA ini, meta berubah-ubah tiap musim, bisa dimainkan santai atau kompetitif.",netral
"Buatku ML, kontrolnya pakai joystick virtual, tinggal preferensi aja.",netral
"Menurutku mode classic, kontrolnya pakai joystick virtual, tergantung pemain yang ketemu.",netral
"Untuk sekarang MOBA ini, punya skin dan event berkala, bisa dimainkan santai atau kompetitif.",netral
"Untuk sekarang MLBB, meta berubah-ubah tiap musim, bisa dimainkan santai atau kompetitif.",netral
"Sejauh ini game ranked, punya banyak hero dan role, bisa dimainkan santai atau kompetitif.",netral
"Dari sisi gameplay game ini, match rata-rata sekitar belasan menit, overall biasa aja.",netral
"Menurutku Mobile Legends, update konten cukup sering, buatku cukup oke.",netral
"Menurutku MOBA ini, butuh koneksi internet stabil, kadang seru kadang biasa.",netral
"Secara umum game MOBA di HP, kontrolnya pakai joystick virtual, cocok buat yang suka strategi.",netral
"Secara umum Mobile Legends Bang Bang, meta berubah-ubah tiap musim, tinggal preferensi aja.",netral
"Kalau dibanding MOBA lain MOBA ini, meta berubah-ubah tiap musim, kadang seru kadang biasa.",netral
"Dari sisi gameplay game ranked, lebih enak kalau main bareng tim, ga ada yang spesial banget.",netral
"Menurutku MOBA ini, ada sistem rank dan matchmaking, cocok buat yang suka strategi.",netral
"Buatku mode classic, kontrolnya pakai joystick virtual, overall biasa aja.",netral
"Menurutku game ranked, kontrolnya pakai joystick virtual, bisa dimainkan santai atau kompetitif.",netral
"Kalau dari pengalaman MLBB, punya banyak hero dan role, tinggal preferensi aja.",netral
"Yang kerasa game ranked, kontrolnya pakai joystick virtual, ga ada yang spesial banget.",netral
"Kalau dibanding MOBA lain MLBB, kontrolnya pakai joystick virtual, bisa dimainkan santai atau kompetitif.",netral
"Yang kerasa MLBB, punya skin dan event berkala, cocok buat yang suka strategi.",netral
"Dari sisi gameplay Mobile Legends, update konten cukup sering, ya standar MOBA mobile.",netral
"Buatku MOBA ini, cukup populer dan komunitasnya besar, ga ada yang spesial banget.",netral
"Dari sisi gameplay Mobile Legends, match rata-rata sekitar belasan menit, buatku cukup oke.",netral
"Untuk sekarang game MOBA di HP, cukup populer dan komunitasnya besar, overall biasa aja.",netral
"Sejauh ini MLBB, kontrolnya pakai joystick virtual, overall biasa aja.",netral
"Kalau dibanding MOBA lain game ini, ada sistem rank dan matchmaking, buatku cukup oke.",netral
"Dari sisi gameplay mode classic, match rata-rata sekitar belasan menit, overall biasa aja.",netral
"Sejauh ini MLBB, lebih enak kalau main bareng tim, overall biasa aja.",netral
"Dari sisi gameplay ML, punya banyak hero dan role, ya standar MOBA mobile.",netral
"Yang kerasa ML, punya skin dan event berkala, tinggal preferensi aja.",netral
"Sejauh ini game ini, meta berubah-ubah tiap musim, kadang seru kadang biasa.",netral
"Buatku Mobile Legends, update konten cukup sering, buatku cukup oke.",netral
"Sejauh ini mode classic, ada sistem rank dan matchmaking, ga ada yang spesial banget.",netral
"Kalau dibanding MOBA lain Mobile Legends Bang Bang, kontrolnya pakai joystick virtual, overall biasa aja.",netral
"Yang kerasa game ini, meta berubah-ubah tiap musim, kadang seru kadang biasa.",netral
"Dari sisi gameplay game MOBA di HP, cukup populer dan komunitasnya besar, kadang seru kadang biasa.",netral
"Yang kerasa Mobile Legends, cukup populer dan komunitasnya besar, buatku cukup oke.",netral
"Intinya game MOBA di HP, update konten cukup sering, tergantung pemain yang ketemu.",netral
"Untuk sekarang MLBB, cukup populer dan komunitasnya besar, ga ada yang spesial banget.",netral
"Secara umum MLBB, cukup populer dan komunitasnya besar, buatku cukup oke.",netral
"Menurutku MOBA ini, lebih enak kalau main bareng tim, ga ada yang spesial banget.",netral
"Kalau dari pengalaman Mobile Legends Bang Bang, punya banyak hero dan role, tergantung pemain yang ketemu.",netral
"Dari sisi gameplay aplikasi ini, punya banyak hero dan role, tinggal preferensi aja.",netral
"Dari sisi gameplay game MOBA di HP, meta berubah-ubah tiap musim, kadang seru kadang biasa.",netral
"Kalau dari pengalaman Mobile Legends Bang Bang, meta berubah-ubah tiap musim, ya standar MOBA mobile.",netral
"Buatku aplikasi ini, punya banyak hero dan role, cocok buat yang suka strategi.",netral
"Dari sisi gameplay Mobile Legends, punya skin dan event berkala, overall biasa aja.",netral
"Menurutku game MOBA di HP, update konten cukup sering, overall biasa aja.",netral
"Yang kerasa ML, cukup populer dan komunitasnya besar, tinggal preferensi aja.",netral
"Kalau dibanding MOBA lain Mobile Legends Bang Bang, meta berubah-ubah tiap musim, buatku cukup oke.",netral
"Yang kerasa game ini, punya banyak hero dan role, tergantung pemain yang ketemu.",netral
"Untuk sekarang mode classic, lebih enak kalau main bareng tim, overall biasa aja.",netral
"Untuk sekarang game MOBA di HP, lebih enak kalau main bareng tim, overall biasa aja.",netral
