komentar,predicted_label,confidence
"Jujur aja Mobile Legends, hasil permainan sangat tergantung tim, tergantung mood pas main.",netral,0.9329
"Yang aku rasain game ini, permainannya terasa kompetitif, ya kurang lebih seperti itu.",netral,0.9366
"Pas nyobain lagi game MOBA ini, butuh koneksi internet stabil, rasanya standar untuk game MOBA.",netral,0.934
"Dari sisi pemain lama mode classic, grafisnya masih oke di HP sekarang, lebih enak kalau bareng temen.",netral,0.9347
"Jujur aja game MOBA ini, butuh koneksi internet stabil, ga selalu mulus tiap match.",netral,0.9372
"Terus terang MLBB, sering ketemu pemain baru, ga selalu mulus tiap match.",netral,0.8751
"Terus terang mode classic, kadang ketemu tim enak, jadi kadang seru kadang bikin kesel.",netral,0.8848
"Sebagai player casual mode classic, ping sangat berpengaruh ke gameplay, kadang bikin emosi juga.",netral,0.9308
"Sejauh ini mode ranked, kadang ketemu tim enak, tergantung cara main masing-masing.",netral,0.939
"Dari dulu sampai sekarang mode classic, butuh koneksi internet stabil, jadi kadang seru kadang bikin kesel.",netral,0.9314
"Setelah update kemarin game Mobile Legends Bang Bang, banyak hero yang bisa dicoba, kadang bikin emosi juga.",netral,0.933
"Sebagai player casual sistem di ML, meta sering berubah, kurang cocok kalau lagi capek.",netral,0.9257
"Setelah update kemarin sistem di ML, banyak hero yang bisa dicoba, tergantung cara main masing-masing.",netral,0.9386
"Beberapa hari main ML, ping sangat berpengaruh ke gameplay, bisa dinikmati kalau santai.",netral,0.9288
"Dari dulu sampai sekarang sistem di ML, banyak juga player lama, lebih enak kalau bareng temen.",netral,0.9367
"Dari sisi pemain lama game Mobile Legends Bang Bang, permainannya terasa kompetitif, kadang bikin emosi juga.",netral,0.9352
"Kalau dilihat sekarang Mobile Legends, banyak juga player lama, rasanya standar untuk game MOBA.",netral,0.9368
"Sebagai solo player game ini, kontrolnya cukup responsif, kadang pengen lanjut kadang pengen stop.",netral,0.9312
"Setelah update kemarin game MOBA ini, skill individu tetap penting, jadi kadang seru kadang bikin kesel.",netral,0.9335
"Yang aku rasain sistem di ML, butuh koneksi internet stabil, tidak selalu sesuai ekspektasi.",netral,0.9363
"Sebagai player casual MLBB, komunitasnya rame, bisa bikin betah lama-lama.",netral,0.6202
"Jujur aja game MOBA ini, kadang ketemu tim enak, ya kurang lebih seperti itu.",netral,0.9364
"Buatku pribadi sistem di ML, gameplay-nya khas MOBA mobile, bisa dinikmati kalau santai.",netral,0.9342
"Sebagai player casual Mobile Legends, ping sangat berpengaruh ke gameplay, ya kurang lebih seperti itu.",netral,0.9359
"Kalau main lama-lama ML, grafisnya masih oke di HP sekarang, cukup buat ngisi waktu luang.",netral,0.8953
"Buatku pribadi sistem di ML, banyak hero yang bisa dicoba, rasanya standar untuk game MOBA.",netral,0.9386
"Dari sisi pemain lama game Mobile Legends Bang Bang, kontrolnya cukup responsif, bisa bikin betah lama-lama.",netral,0.9357
"Overall game Mobile Legends Bang Bang, pengalaman main beda tiap match, bisa bikin betah lama-lama.",netral,0.7056
"Overall game ini, skill individu tetap penting, lebih enak kalau bareng temen.",netral,0.9337
"Terus terang game MOBA ini, hasil permainan sangat tergantung tim, lebih enak kalau bareng temen.",netral,0.9365
"Kalau dari pengalamanku MLBB, kadang juga ketemu pemain aneh, bisa dinikmati kalau santai.",netral,0.934
"Sebagai player casual game Mobile Legends Bang Bang, komunitasnya rame, lumayan buat hiburan.",netral,0.9052
"Kalau dari pengalamanku Mobile Legends, permainannya terasa kompetitif, balik lagi ke preferensi masing-masing.",netral,0.9388
"Beberapa hari main mode classic, kadang juga ketemu pemain aneh, tidak selalu sesuai ekspektasi.",netral,0.9214
"Kalau mabar Mobile Legends, banyak juga player lama, bisa bikin lupa waktu.",netral,0.9074
"Jujur aja aplikasi Mobile Legends, kontrolnya cukup responsif, tergantung cara main masing-masing.",netral,0.9409
"Yang aku rasain game Mobile Legends Bang Bang, event datang silih berganti, hasilnya sering ga bisa ditebak.",netral,0.9274
"Sejauh ini mode classic, gameplay-nya khas MOBA mobile, tergantung mood pas main.",netral,0.9332
"Overall aplikasi Mobile Legends, ping sangat berpengaruh ke gameplay, ga selalu mulus tiap match.",netral,0.9085
"Kalau mabar ML, grafisnya masih oke di HP sekarang, balik lagi ke preferensi masing-masing.",netral,0.7366
"Jujur aja aplikasi Mobile Legends, kerja sama tim jadi faktor utama, lumayan buat hiburan.",netral,0.9379
"Sejauh ini ML, komunitasnya rame, bisa bikin betah lama-lama.",netral,0.9228
"Pas nyobain lagi game MOBA ini, meta sering berubah, hasilnya sering ga bisa ditebak.",netral,0.9122
"Kalau push rank game MOBA ini, sering ketemu pemain baru, jadi kadang seru kadang bikin kesel.",netral,0.9283
"Selama pakai aplikasi ini Mobile Legends, hasil permainan sangat tergantung tim, tergantung lawan yang didapat.",netral,0.9375
"Dari dulu sampai sekarang aplikasi Mobile Legends, meta sering berubah, cukup buat ngisi waktu luang.",netral,0.934
"Pas nyobain lagi aplikasi Mobile Legends, event datang silih berganti, balik lagi ke preferensi masing-masing.",netral,0.9295
"Kalau dari pengalamanku game MOBA ini, kontrolnya cukup responsif, bisa bikin betah lama-lama.",netral,0.9343
"Kalau mabar game ini, event datang silih berganti, hasilnya sering ga bisa ditebak.",netral,0.9112
"Dari sisi pemain lama mode classic, kadang juga ketemu pemain aneh, balik lagi ke preferensi masing-masing.",netral,0.9379
"Kalau push rank MLBB, sering ketemu pemain baru, lumayan buat hiburan.",netral,0.9213
"Jujur aja game ini, kontrolnya cukup responsif, bisa dinikmati kalau santai.",netral,0.9372
"Terus terang game Mobile Legends Bang Bang, kerja sama tim jadi faktor utama, bisa dinikmati kalau santai.",netral,0.9355
"Terus terang ML, pengalaman main beda tiap match, kadang pengen lanjut kadang pengen stop.",netral,0.658
"Dari sisi pemain lama sistem di ML, gameplay-nya khas MOBA mobile, kurang cocok kalau lagi capek.",netral,0.9353
"Kalau main lama-lama sistem di ML, sering ketemu pemain baru, bisa dinikmati kalau santai.",netral,0.924
"Menurutku game MOBA ini, hasil permainan sangat tergantung tim, cukup buat ngisi waktu luang.",netral,0.9364
"Kalau mabar MLBB, ping sangat berpengaruh ke gameplay, cukup buat ngisi waktu luang.",netral,0.8838
"Sebagai player casual game Mobile Legends Bang Bang, gameplay-nya khas MOBA mobile, rasanya standar untuk game MOBA.",netral,0.9378
"Beberapa hari main aplikasi Mobile Legends, pengalaman main beda tiap match, hasilnya sering ga bisa ditebak.",netral,0.9286
"Beberapa hari main sistem di ML, match-nya kadang cepat kadang lama, tidak selalu sesuai ekspektasi.",netral,0.8931
"Yang aku rasain aplikasi Mobile Legends, ping sangat berpengaruh ke gameplay, kadang pengen lanjut kadang pengen stop.",netral,0.9277
"Pas nyobain lagi ML, gameplay-nya khas MOBA mobile, ga selalu mulus tiap match.",positif,0.9316
"Setelah update kemarin mode ranked, kontrolnya cukup responsif, kadang bikin emosi juga.",netral,0.9243
"Selama pakai aplikasi ini sistem di ML, ping sangat berpengaruh ke gameplay, jadi kadang seru kadang bikin kesel.",netral,0.934
"Kalau dari pengalamanku aplikasi Mobile Legends, permainannya terasa kompetitif, tergantung lawan yang didapat.",netral,0.9365
"Kalau mabar game ini, butuh koneksi internet stabil, tidak selalu sesuai ekspektasi.",netral,0.9346
"Jujur aja mode ranked, update-nya cukup sering, hasilnya sering ga bisa ditebak.",netral,0.9192
"Terus terang game MOBA ini, hasil permainan sangat tergantung tim, tidak selalu sesuai ekspektasi.",netral,0.9358
"Dari sisi pemain lama sistem di ML, match-nya kadang cepat kadang lama, kadang pengen lanjut kadang pengen stop.",netral,0.9141
"Pas nyobain lagi mode ranked, sering ketemu pemain baru, tergantung mood pas main.",negatif,0.9122
"Menurutku sistem di ML, update-nya cukup sering, tidak selalu sesuai ekspektasi.",netral,0.936
"Beberapa hari main game MOBA ini, sering ketemu pemain baru, bisa bikin betah lama-lama.",netral,0.9238
"Beberapa hari main ML, skill individu tetap penting, kurang cocok kalau lagi capek.",netral,0.8114
"Sebagai solo player game ini, banyak hero yang bisa dicoba, kadang pengen lanjut kadang pengen stop.",netral,0.9332
"Dari sisi pemain lama mode ranked, banyak hero yang bisa dicoba, ya kurang lebih seperti itu.",netral,0.9379
"Yang aku rasain MLBB, update-nya cukup sering, lebih enak kalau bareng temen.",netral,0.9303
"Sejauh ini game ini, grafisnya masih oke di HP sekarang, tergantung cara main masing-masing.",netral,0.9383
"Dari dulu sampai sekarang mode classic, butuh koneksi internet stabil, masih oke buat dimainkan.",netral,0.9352
"Kalau dilihat sekarang aplikasi Mobile Legends, update-nya cukup sering, balik lagi ke preferensi masing-masing.",netral,0.9383
"Kalau dilihat sekarang game Mobile Legends Bang Bang, banyak hero yang bisa dicoba, masih oke buat dimainkan.",netral,0.9381
"Terus terang aplikasi Mobile Legends, gameplay-nya khas MOBA mobile, kadang bikin emosi juga.",netral,0.922
"Buatku pribadi aplikasi Mobile Legends, hasil permainan sangat tergantung tim, hasilnya sering ga bisa ditebak.",netral,0.9347
"Buatku pribadi sistem di ML, banyak hero yang bisa dicoba, cukup buat ngisi waktu luang.",netral,0.9363
"Buatku pribadi Mobile Legends, gameplay-nya khas MOBA mobile, bisa dinikmati kalau santai.",netral,0.9337
"Selama pakai aplikasi ini ML, butuh koneksi internet stabil, kadang bikin emosi juga.",netral,0.9335
"Kalau main lama-lama MLBB, meta sering berubah, cukup buat ngisi waktu luang.",netral,0.8986
"Dari sisi pemain lama aplikasi Mobile Legends, kontrolnya cukup responsif, cukup buat ngisi waktu luang.",netral,0.935
"Selama pakai aplikasi ini mode classic, grafisnya masih oke di HP sekarang, tergantung lawan yang didapat.",netral,0.9369
"Pas nyobain lagi aplikasi Mobile Legends, update-nya cukup sering, hasilnya sering ga bisa ditebak.",netral,0.8654
"Kalau dari pengalamanku mode classic, update-nya cukup sering, kadang bikin emosi juga.",netral,0.9301
"Kalau push rank MLBB, pengalaman main beda tiap match, ga selalu mulus tiap match.",netral,0.9233
"Selama pakai aplikasi ini mode ranked, butuh koneksi internet stabil, tergantung lawan yang didapat.",netral,0.9382
"Jujur aja mode ranked, ping sangat berpengaruh ke gameplay, cukup buat ngisi waktu luang.",netral,0.932
"Setelah update kemarin game ini, skill individu tetap penting, bisa dinikmati kalau santai.",netral,0.9365
"Kalau main lama-lama ML, komunitasnya rame, tidak selalu sesuai ekspektasi.",netral,0.7065
"Setelah update kemarin sistem di ML, permainannya terasa kompetitif, hasilnya sering ga bisa ditebak.",netral,0.9188
"Sebagai player casual ML, match-nya kadang cepat kadang lama, jadi kadang seru kadang bikin kesel.",netral,0.9221
"Menurutku Mobile Legends, event datang silih berganti, kadang bikin emosi juga.",netral,0.9283
"Buatku pribadi mode ranked, kerja sama tim jadi faktor utama, ya kurang lebih seperti itu.",netral,0.9354
"Pas nyobain lagi game ini, gameplay-nya khas MOBA mobile, kadang bikin emosi juga.",netral,0.81
"Kalau push rank mode ranked, hasil permainan sangat tergantung tim, tergantung cara main masing-masing.",netral,0.9363
"Selama pakai aplikasi ini Mobile Legends, event datang silih berganti, masih oke buat dimainkan.",netral,0.9361
"Selama pakai aplikasi ini mode ranked, permainannya terasa kompetitif, masih oke buat dimainkan.",netral,0.9348
"Setelah update kemarin MLBB, sering ketemu pemain baru, jadi kadang seru kadang bikin kesel.",netral,0.9064
"Beberapa hari main game ini, meta sering berubah, kadang pengen lanjut kadang pengen stop.",netral,0.8719
"Beberapa hari main MLBB, kadang ketemu tim enak, ya kurang lebih seperti itu.",netral,0.9186
"Kalau dilihat sekarang MLBB, kadang ketemu tim enak, bisa bikin lupa waktu.",netral,0.9169
"Kalau dari pengalamanku sistem di ML, ping sangat berpengaruh ke gameplay, tidak selalu sesuai ekspektasi.",netral,0.9354
"Kalau dari pengalamanku Mobile Legends, kerja sama tim jadi faktor utama, rasanya standar untuk game MOBA.",netral,0.9379
"Setelah update kemarin mode classic, sering ketemu pemain baru, tergantung lawan yang didapat.",netral,0.9284
"Overall sistem di ML, update-nya cukup sering, tidak selalu sesuai ekspektasi.",positif,0.8567
"Jujur aja Mobile Legends, event datang silih berganti, ga selalu mulus tiap match.",netral,0.9269
"Pas nyobain lagi aplikasi Mobile Legends, update-nya cukup sering, lebih enak kalau bareng temen.",positif,0.7864
"Pas nyobain lagi game Mobile Legends Bang Bang, banyak juga player lama, cukup buat ngisi waktu luang.",netral,0.9149
"Yang aku rasain game MOBA ini, update-nya cukup sering, kadang bikin emosi juga.",netral,0.9314
"Sejauh ini mode classic, ping sangat berpengaruh ke gameplay, tergantung lawan yang didapat.",netral,0.936
"Sebagai player casual sistem di ML, banyak hero yang bisa dicoba, kurang cocok kalau lagi capek.",netral,0.9375
"Pas nyobain lagi ML, ping sangat berpengaruh ke gameplay, kadang pengen lanjut kadang pengen stop.",negatif,0.7419
"Sejauh ini mode ranked, kerja sama tim jadi faktor utama, bisa dinikmati kalau santai.",netral,0.9366
"Setelah update kemarin game ini, kontrolnya cukup responsif, tergantung lawan yang didapat.",netral,0.9351
"Kalau mabar Mobile Legends, skill individu tetap penting, jadi kadang seru kadang bikin kesel.",netral,0.8652
"Kalau dari pengalamanku mode classic, match-nya kadang cepat kadang lama, tergantung cara main masing-masing.",netral,0.9376
"Terus terang Mobile Legends, meta sering berubah, tidak selalu sesuai ekspektasi.",netral,0.9278
"Dari sisi pemain lama sistem di ML, event datang silih berganti, masih oke buat dimainkan.",netral,0.9343
"Terus terang MLBB, butuh koneksi internet stabil, kadang pengen lanjut kadang pengen stop.",netral,0.6981
"Overall game ini, meta sering berubah, lumayan buat hiburan.",netral,0.9363
"Selama pakai aplikasi ini sistem di ML, update-nya cukup sering, tidak selalu sesuai ekspektasi.",netral,0.9372
"Sebagai solo player MLBB, banyak hero yang bisa dicoba, ga selalu mulus tiap match.",netral,0.9385
"Yang aku rasain MLBB, grafisnya masih oke di HP sekarang, rasanya standar untuk game MOBA.",netral,0.9351
"Selama pakai aplikasi ini mode ranked, komunitasnya rame, tidak selalu sesuai ekspektasi.",netral,0.9366
"Menurutku mode classic, banyak juga player lama, lumayan buat hiburan.",netral,0.9362
"Selama pakai aplikasi ini mode classic, gameplay-nya khas MOBA mobile, jadi kadang seru kadang bikin kesel.",netral,0.9336
"Sebagai player casual game Mobile Legends Bang Bang, meta sering berubah, ga selalu mulus tiap match.",netral,0.9356
"Overall mode ranked, banyak juga player lama, ga selalu mulus tiap match.",positif,0.8363
"Kalau dari pengalamanku game MOBA ini, gameplay-nya khas MOBA mobile, hasilnya sering ga bisa ditebak.",netral,0.9354
"Kalau dilihat sekarang game ini, gameplay-nya khas MOBA mobile, kurang cocok kalau lagi capek.",netral,0.935
"Beberapa hari main aplikasi Mobile Legends, pengalaman main beda tiap match, tergantung lawan yang didapat.",netral,0.9339
"Jujur aja mode classic, kadang ketemu tim enak, lebih enak kalau bareng temen.",netral,0.9336
"Sejauh ini ML, kadang ketemu tim enak, tergantung mood pas main.",netral,0.9278
"Sebagai player casual game MOBA ini, update-nya cukup sering, tidak selalu sesuai ekspektasi.",netral,0.9348
"Yang aku rasain MLBB, permainannya terasa kompetitif, bisa bikin lupa waktu.",netral,0.9271
"Dari sisi pemain lama mode ranked, kadang ketemu tim enak, lebih enak kalau bareng temen.",netral,0.9359
"Terus terang sistem di ML, skill individu tetap penting, cukup buat ngisi waktu luang.",netral,0.9292
"Buatku pribadi mode classic, update-nya cukup sering, lebih enak kalau bareng temen.",netral,0.9337
"Sebagai player casual mode ranked, butuh koneksi internet stabil, lumayan buat hiburan.",netral,0.9343
"Kalau main lama-lama aplikasi Mobile Legends, hasil permainan sangat tergantung tim, bisa dinikmati kalau santai.",netral,0.9337
"Menurutku sistem di ML, banyak hero yang bisa dicoba, balik lagi ke preferensi masing-masing.",netral,0.9418
"Kalau push rank game ini, update-nya cukup sering, rasanya standar untuk game MOBA.",netral,0.9359
"Kalau main lama-lama mode ranked, sering ketemu pemain baru, jadi kadang seru kadang bikin kesel.",netral,0.8233
"Kalau mabar mode ranked, kadang juga ketemu pemain aneh, hasilnya sering ga bisa ditebak.",netral,0.6117
"Kalau mabar mode classic, meta sering berubah, bisa dinikmati kalau santai.",netral,0.8647
"Dari sisi pemain lama ML, grafisnya masih oke di HP sekarang, cukup buat ngisi waktu luang.",netral,0.9328
"Dari sisi pemain lama game MOBA ini, kontrolnya cukup responsif, lumayan buat hiburan.",netral,0.9367
"Kalau main lama-lama Mobile Legends, meta sering berubah, balik lagi ke preferensi masing-masing.",netral,0.9363
"Yang aku rasain game ini, kadang juga ketemu pemain aneh, ya kurang lebih seperti itu.",netral,0.9348
"Setelah update kemarin Mobile Legends, ping sangat berpengaruh ke gameplay, lumayan buat hiburan.",netral,0.9327
"Buatku pribadi mode ranked, permainannya terasa kompetitif, tergantung cara main masing-masing.",netral,0.9382
"Dari dulu sampai sekarang game MOBA ini, kadang juga ketemu pemain aneh, kadang bikin emosi juga.",netral,0.9307
"Beberapa hari main game Mobile Legends Bang Bang, permainannya terasa kompetitif, bisa dinikmati kalau santai.",netral,0.9252
"Selama pakai aplikasi ini game ini, ping sangat berpengaruh ke gameplay, tidak selalu sesuai ekspektasi.",netral,0.9369
"Buatku pribadi mode ranked, skill individu tetap penting, masih oke buat dimainkan.",netral,0.9379
"Setelah update kemarin sistem di ML, banyak juga player lama, ya kurang lebih seperti itu.",netral,0.9323
"Sebagai player casual mode classic, match-nya kadang cepat kadang lama, bisa bikin lupa waktu.",netral,0.9233
"Selama pakai aplikasi ini mode ranked, pengalaman main beda tiap match, kadang pengen lanjut kadang pengen stop.",netral,0.9324
"Buatku pribadi aplikasi Mobile Legends, banyak hero yang bisa dicoba, lebih enak kalau bareng temen.",netral,0.9383
"Kalau push rank ML, banyak juga player lama, bisa bikin betah lama-lama.",netral,0.9188
"Buatku pribadi MLBB, banyak hero yang bisa dicoba, bisa bikin lupa waktu.",netral,0.9337
"Yang aku rasain game ini, hasil permainan sangat tergantung tim, kurang cocok kalau lagi capek.",netral,0.934
"Pas nyobain lagi mode classic, sering ketemu pemain baru, kadang pengen lanjut kadang pengen stop.",negatif,0.8769
"Kalau dari pengalamanku game MOBA ini, update-nya cukup sering, ya kurang lebih seperti itu.",netral,0.9363
"Terus terang MLBB, hasil permainan sangat tergantung tim, tidak selalu sesuai ekspektasi.",netral,0.9316
"Beberapa hari main aplikasi Mobile Legends, butuh koneksi internet stabil, lumayan buat hiburan.",netral,0.9296
"Kalau dari pengalamanku game MOBA ini, grafisnya masih oke di HP sekarang, kurang cocok kalau lagi capek.",netral,0.9338
"Menurutku game Mobile Legends Bang Bang, banyak juga player lama, kurang cocok kalau lagi capek.",netral,0.9366
"Kalau push rank mode ranked, ping sangat berpengaruh ke gameplay, masih oke buat dimainkan.",netral,0.9314
"Menurutku MLBB, komunitasnya rame, ga selalu mulus tiap match.",netral,0.9318
"Kalau dilihat sekarang mode ranked, ping sangat berpengaruh ke gameplay, bisa bikin betah lama-lama.",netral,0.9316
"Kalau dari pengalamanku game Mobile Legends Bang Bang, kontrolnya cukup responsif, jadi kadang seru kadang bikin kesel.",netral,0.935
"Pas nyobain lagi sistem di ML, hasil permainan sangat tergantung tim, lumayan buat hiburan.",positif,0.5411
"Dari sisi pemain lama aplikasi Mobile Legends, match-nya kadang cepat kadang lama, tergantung mood pas main.",netral,0.9313
"Dari dulu sampai sekarang mode classic, grafisnya masih oke di HP sekarang, bisa bikin betah lama-lama.",netral,0.9254
"Selama pakai aplikasi ini mode classic, kontrolnya cukup responsif, lebih enak kalau bareng temen.",netral,0.9377
"Kalau push rank ML, pengalaman main beda tiap match, tidak selalu sesuai ekspektasi.",netral,0.9246
"Kalau dari pengalamanku sistem di ML, grafisnya masih oke di HP sekarang, cukup buat ngisi waktu luang.",netral,0.9332
"Selama pakai aplikasi ini game ini, gameplay-nya khas MOBA mobile, cukup buat ngisi waktu luang.",netral,0.9347
"Sebagai solo player mode ranked, ping sangat berpengaruh ke gameplay, lumayan buat hiburan.",netral,0.9343
"Sejauh ini game Mobile Legends Bang Bang, komunitasnya rame, cukup buat ngisi waktu luang.",netral,0.9349
"Kalau push rank game ini, butuh koneksi internet stabil, ya kurang lebih seperti itu.",netral,0.9383
"Sebagai player casual game ini, pengalaman main beda tiap match, ga selalu mulus tiap match.",netral,0.9366
"Kalau mabar game MOBA ini, update-nya cukup sering, jadi kadang seru kadang bikin kesel.",netral,0.9247
"Pas nyobain lagi game ini, update-nya cukup sering, ya kurang lebih seperti itu.",netral,0.9258
"Beberapa hari main game ini, grafisnya masih oke di HP sekarang, kadang bikin emosi juga.",netral,0.9252
"Kalau push rank MLBB, pengalaman main beda tiap match, bisa dinikmati kalau santai.",netral,0.9338
"Dari dulu sampai sekarang sistem di ML, pengalaman main beda tiap match, ga selalu mulus tiap match.",netral,0.9344
"Setelah update kemarin MLBB, event datang silih berganti, jadi kadang seru kadang bikin kesel.",netral,0.9041
"Sejauh ini MLBB, ping sangat berpengaruh ke gameplay, bisa dinikmati kalau santai.",netral,0.9349
"Kalau dari pengalamanku sistem di ML, update-nya cukup sering, kadang bikin emosi juga.",netral,0.9268
"Setelah update kemarin aplikasi Mobile Legends, sering ketemu pemain baru, bisa bikin lupa waktu.",netral,0.9193
"Terus terang game MOBA ini, gameplay-nya khas MOBA mobile, tergantung lawan yang didapat.",netral,0.9343
"Sejauh ini game ini, event datang silih berganti, tergantung cara main masing-masing.",netral,0.9377
"Terus terang game Mobile Legends Bang Bang, grafisnya masih oke di HP sekarang, rasanya standar untuk game MOBA.",netral,0.9337
"Sebagai solo player game ini, pengalaman main beda tiap match, bisa bikin betah lama-lama.",netral,0.9332
"Kalau dari pengalamanku game ini, grafisnya masih oke di HP sekarang, tergantung cara main masing-masing.",netral,0.9389
"Kalau push rank game ini, hasil permainan sangat tergantung tim, tergantung cara main masing-masing.",netral,0.9396
"Kalau push rank game MOBA ini, update-nya cukup sering, tergantung mood pas main.",netral,0.9305
"Setelah update kemarin game Mobile Legends Bang Bang, meta sering berubah, bisa bikin lupa waktu.",netral,0.9233
"Kalau push rank mode ranked, komunitasnya rame, ya kurang lebih seperti itu.",netral,0.9096
"Kalau dilihat sekarang Mobile Legends, kadang ketemu tim enak, bisa dinikmati kalau santai.",netral,0.9356
"Selama pakai aplikasi ini ML, komunitasnya rame, jadi kadang seru kadang bikin kesel.",netral,0.9298
"Yang aku rasain mode ranked, skill individu tetap penting, hasilnya sering ga bisa ditebak.",netral,0.9297
"Kalau mabar game MOBA ini, hasil permainan sangat tergantung tim, bisa bikin betah lama-lama.",netral,0.9289
"Selama pakai aplikasi ini MLBB, hasil permainan sangat tergantung tim, hasilnya sering ga bisa ditebak.",netral,0.9343
"Dari sisi pemain lama game Mobile Legends Bang Bang, kontrolnya cukup responsif, bisa bikin lupa waktu.",netral,0.9345
"Kalau dari pengalamanku sistem di ML, kadang juga ketemu pemain aneh, lumayan buat hiburan.",netral,0.9353
"Yang aku rasain aplikasi Mobile Legends, banyak hero yang bisa dicoba, kurang cocok kalau lagi capek.",netral,0.936
"Kalau push rank Mobile Legends, meta sering berubah, hasilnya sering ga bisa ditebak.",netral,0.9054
"Buatku pribadi game MOBA ini, kerja sama tim jadi faktor utama, masih oke buat dimainkan.",netral,0.9361
"Kalau push rank mode classic, update-nya cukup sering, tergantung cara main masing-masing.",netral,0.9358
"Pas nyobain lagi aplikasi Mobile Legends, butuh koneksi internet stabil, tergantung mood pas main.",netral,0.8793
"Sebagai solo player mode ranked, kontrolnya cukup responsif, hasilnya sering ga bisa ditebak.",netral,0.9336
"Kalau push rank Mobile Legends, hasil permainan sangat tergantung tim, cukup buat ngisi waktu luang.",netral,0.9349
"Sejauh ini aplikasi Mobile Legends, sering ketemu pemain baru, bisa bikin betah lama-lama.",netral,0.9332
"Kalau dilihat sekarang MLBB, gameplay-nya khas MOBA mobile, bisa bikin lupa waktu.",netral,0.9309
"Kalau dari pengalamanku MLBB, meta sering berubah, masih oke buat dimainkan.",netral,0.9364
"Yang aku rasain game MOBA ini, meta sering berubah, bisa bikin betah lama-lama.",netral,0.9337
"Buatku pribadi game MOBA ini, gameplay-nya khas MOBA mobile, lumayan buat hiburan.",netral,0.9349
"Kalau mabar ML, gameplay-nya khas MOBA mobile, lumayan buat hiburan.",positif,0.9135
"Overall mode ranked, event datang silih berganti, bisa bikin lupa waktu.",positif,0.6953
"Sebagai solo player aplikasi Mobile Legends, ping sangat berpengaruh ke gameplay, ga selalu mulus tiap match.",netral,0.9354
"Kalau dari pengalamanku ML, skill individu tetap penting, ya kurang lebih seperti itu.",netral,0.9387
"Selama pakai aplikasi ini mode classic, kadang ketemu tim enak, ga selalu mulus tiap match.",netral,0.9353
"Terus terang mode classic, grafisnya masih oke di HP sekarang, kadang pengen lanjut kadang pengen stop.",netral,0.83
"Sebagai solo player sistem di ML, match-nya kadang cepat kadang lama, kadang pengen lanjut kadang pengen stop.",netral,0.9162
"Sejauh ini game ini, permainannya terasa kompetitif, kadang pengen lanjut kadang pengen stop.",netral,0.9322
"Kalau push rank aplikasi Mobile Legends, skill individu tetap penting, balik lagi ke preferensi masing-masing.",netral,0.942
"Kalau mabar mode ranked, sering ketemu pemain baru, tergantung lawan yang didapat.",netral,0.8968
"Overall ML, gameplay-nya khas MOBA mobile, cukup buat ngisi waktu luang.",positif,0.8869
"Sebagai player casual game MOBA ini, komunitasnya rame, rasanya standar untuk game MOBA.",netral,0.9351
"Overall game Mobile Legends Bang Bang, event datang silih berganti, ya kurang lebih seperti itu.",netral,0.933
"Dari sisi pemain lama mode classic, match-nya kadang cepat kadang lama, rasanya standar untuk game MOBA.",netral,0.936
